      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      5.1170   2.4230E+02       0.23907381       0.02451277
      5.1220   2.4206E+02       0.23221020       0.02281831
      5.1270   2.4183E+02       0.22563406       0.02121185
      5.1320   2.4159E+02       0.22053568       0.02006279
      5.1370   2.4136E+02       0.21756733       0.01960944
      5.1420   2.4112E+02       0.21656008       0.01981301
      5.1470   2.4089E+02       0.21668871       0.02042500
      5.1520   2.4065E+02       0.21695282       0.02117135
      5.1570   2.4042E+02       0.21658159       0.02181639
      5.1620   2.4019E+02       0.21515944       0.02212558
      5.1670   2.3995E+02       0.21260636       0.02190932
      5.1720   2.3972E+02       0.20913958       0.02115619
      5.1770   2.3949E+02       0.20516250       0.02009110
      5.1820   2.3926E+02       0.20103455       0.01903590
      5.1870   2.3903E+02       0.19688459       0.01819755
      5.1920   2.3880E+02       0.19270495       0.01762516
      5.1970   2.3857E+02       0.18862713       0.01732678
      5.2020   2.3834E+02       0.18500866       0.01735038
